"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
2900,0.04,"E",1.03
2500,0.53,"B",0.32
2000,0.07,"D",0
4000,0.09,"C",0.18
22500,0.15,"B",0.97
10000,0.27,"A",0.25
6500,0.23,"A",0.7
5500,0.16,"A",0.36
1000,0.2,"HR",0.82
5200,0.13,"A",0.26
10000,0.58,"B",0.92
10000,0.06,"B",0.84
20000,0.17,"A",0.29
15000,0.31,"C",0.85
7500,0.15,"D",0.17
15000,0.15,"AA",NA
25000,0.28,"C",0.69
2550,0.35,"HR",1.26
6000,0.38,"D",0.42
2500,0.19,"D",0.86
2000,0.28,"C",0.95
2750,0.04,"NC",NA
3000,0.12,"C",0.59
10000,0.42,"D",0.96
3000,0.2,"E",NA
3000,0.34,"C",0.55
25000,0.59,"B",0.38
10000,0.58,"C",0.27
10772,0.14,"A",0.88
7500,NA,"E",0.89
20000,0.36,"B",0.49
4000,0.22,"HR",0.84
4000,0.33,"AA",0.25
9000,0.44,"B",0.86
2550,0.28,"E",NA
15000,0.4,"B",0.82
3851,NA,"HR",0.42
18000,0.11,"AA",0.04
4000,0.17,"C",0
4000,0.09,"A",0.96
2500,0.2,"D",0.61
5000,0.09,"C",0.5
8500,0.29,"C",0.56
5000,0.04,"C",0.35
10000,0.08,"AA",0.16
7500,0.22,"D",0.53
2000,0.1,"C",0.49
5000,0.06,"C",0.46
20000,0.18,"A",0.55
2000,0.24,"C",0.64
5000,0.81,"E",NA
8000,0.18,"C",0.23
2000,0.88,"HR",0.87
3500,0.28,"E",0.88
13000,0.25,"C",NA
4000,0.17,"HR",0.94
3500,0.83,"HR",0.67
4000,0.31,"HR",0.74
4000,0.22,"B",0.62
10000,0.22,"B",0.79
2000,0.27,"E",1.01
5000,0.11,"A",0.65
10000,0.29,"C",0.75
7000,0.2,"D",0.79
2000,0.16,"E",0.91
20000,0.21,"AA",0.25
20000,0.15,"B",0.28
10000,0.57,"D",0.88
4000,NA,"HR",0.43
6000,0.2,"A",0.47
4000,0.48,"D",0.93
15000,0.27,"A",0.82
1000,0.1,"E",NA
19250,2.02,"B",0.88
5000,0.24,"B",0.04
18000,0.28,"B",0.94
15000,0.32,"C",0.71
3000,0.05,"HR",NA
7000,0.17,"D",1.01
2500,0.42,"HR",0.89
7500,0.13,"A",0.26
5000,0.05,"B",0.16
5000,0.26,"D",0.7
7000,0.48,"E",0.39
10000,0.1,"AA",0
15000,0.28,"D",0.76
4000,0.4,"C",0.8
5500,0.34,"D",0.79
4000,0.09,"E",0.73
2500,0.11,"D",0.78
15000,0.3,"C",0.83
15000,0.32,"D",0.85
1500,0.09,"AA",0.05
1000,1.87,"A",0.08
10000,0.33,"C",0.91
15000,0.3,"C",0.74
2501,0.45,"D",1.05
6000,0.24,"D",0.51
5500,0.47,"E",0.97
3500,0.53,"D",0.97
3500,0.13,"E",0.9
7000,0.21,"D",0.96
15000,0.13,"C",0.88
18500,0.13,"A",0.44
4000,0.15,"B",0.2
15000,0.1,"B",0.14
3700,NA,"A",0.11
7000,0.33,"E",0.78
4000,0.26,"HR",0.35
10500,0.2,"B",0.92
2000,0.25,"B",0.73
2800,0.06,"D",0.59
11000,0.32,"C",0.1
4000,0.5,"E",0.95
3200,0.04,"D",0.85
4000,0.08,"AA",0.08
13000,0.31,"AA",0.33
5000,0.18,"A",0.43
20000,0.19,"B",1
15000,0.09,"C",0.71
15000,0.13,"B",0.86
10000,0.41,"B",0.57
4000,0.29,"HR",0.61
5000,0.2,"D",1.08
10000,0.17,"B",0.73
3500,0.23,"A",0.02
24000,0.1,"C",0.87
4000,0.17,"D",0.86
4000,0.59,"HR",0.97
1000,0.01784,"C",NA
4000,0.12,"HR",0
4000,0.42,"E",0.94
2000,0.09,"E",1.5
5000,0.19,"C",0.31
15000,0.2,"B",0.65
25000,0.2,"AA",0.33
15000,NA,"D",0.72
9013,0.33,"A",0.17
2000,0.22,"D",0.89
10000,0.21,"AA",0.21
3000,0.08,"E",0.28
8000,NA,"A",0.65
15000,0.35,"B",0.39
4000,0.26,"HR",0.96
15000,0.26,"B",0.61
1000,0.17,"AA",0.31
4500,0.28,"D",0.34
3300,0.04,"HR",NA
15000,0.13,"D",0.02
6000,0.31,"E",0.83
11500,0.33,"A",0.17
2200,0.14,"HR",0.99
15000,0.36,"C",0.91
25000,0.26,"B",0.55
25000,0.25,"B",0.21
25000,0.25,"B",0.21
15000,NA,"B",0.16
1500,0.05054,"AA",NA
1500,0.18,"HR",0.95
2000,0.26,"C",0.5
11000,0.2,"A",0.6
12000,0.19,"C",0.42
15000,NA,"C",0
1200,0.21,"D",0.99
4000,0.42,"C",0.41
10000,0.29,"A",0.48
4000,0.24,"B",0.78
6000,0.25,"AA",0.33
9000,0.32,"C",0.82
10000,0.21,"B",0.4
2850,0.1,"B",0.53
3000,0.39,"E",0.91
25000,0.15,"A",0.58
11000,0.17,"A",0.49
4000,0.18,"C",0.6
9995,0.36,"A",0.48
15000,0.27,"A",0.23
15000,0.29,"D",0.53
17000,0.17,"C",0.98
4600,0.41,"E",0.55
1000,0.29,"C",0
17900,0.23,"A",NA
8000,0.1,"C",0.07
13000,0.41,"D",0.75
15000,0.2,"B",0.99
4500,0.36,"E",0.56
15000,0.32,"C",0.87
12000,0.15,"C",0.73
1000,0.0412,"AA",NA
20000,0.09,"C",0.69
20000,0.14,"A",0.05
13000,0.16,"AA",0.33
7500,0.5,"E",0.89
1500,0.55,"D",0.14
2800,0.26,"B",0.66
18001,0.27,"B",0
4000,0.54,"HR",0.99
3000,0.5,"E",0.96
4000,0.17,"E",0.06
3000,0.11,"A",NA
4000,0.18,"E",0.79
25000,0.23,"C",0.76
6000,0.25,"B",0.27
4600,0.06097,"NC",NA
4000,NA,"HR",0.74
3500,0.33,"D",0.82
12000,0.1,"AA",0.1
2000,NA,"HR",1
7500,NA,"D",0.13
15000,0.32,"C",0.4
1500,0.29,"D",0
10000,0.33,"D",0.27
7500,0.35,"D",0.55
13500,0.29,"B",0.08
18000,0.12,"A",0.49
10000,0.4,"C",0.87
10000,0.46,"C",0.77
10000,0.41,"B",0.26
3000,0.1,"AA",0.56
10000,0.17,"D",0.69
5000,0.44,"D",0.79
10000,0.2,"D",0.47
10500,0.22,"C",0.53
31000,0.15,"B",0.27
32500,0.21,"B",0.31
10000,0.32,"B",0.66
3000,0.51,"HR",0.98
1000,0.02,"HR",NA
10000,0.22,"E",0.5
25000,0.18,"A",0.85
7500,NA,"E",0.62
5000,0.12,"C",0.71
10000,0.47,"A",0.33
4000,0.89,"HR",0.63
4750,0.21,"A",NA
15000,0.31,"A",0.83
3500,1.22,"C",1.02
10000,0.24,"B",0.98
9500,0.27,"A",0.63
4000,NA,"HR",0.45
4000,0.17,"E",0
3500,0.19,"E",0.44
9600,0.14,"C",NA
10000,0.17,"A",0.81
7499,0.21,"C",1
10000,0.27,"AA",0.16
2000,1.82,"HR",NA
4000,0.03,"HR",0
10000,0.1,"C",0.21
3000,0.29,"A",0.79
7500,NA,"E",0.26
2000,NA,"C",0.33
2500,0.11,"E",0
3600,0.31,"C",0.86
10000,0.23,"D",0.13
10000,0.4,"C",0.75
10000,0.37,"D",0.69
20000,0.24,"C",0.97
2500,0.03,"HR",NA
20000,0.1,"AA",0.05
4000,0.15,"E",0.44
9000,0.3,"D",0.82
15000,0.22,"AA",0.55
15000,0.27,"C",0.89
8500,0.39,"D",0.72
4500,0.05,"D",0.75
4000,0.13,"C",0.19
6500,0.16,"C",0.52
10582,0.18,"A",0.64
25000,0.21,"C",0.75
3500,0.07,"HR",1
10000,0.03,"B",0.95
15000,0.16,"B",0.7
15000,0.35,"D",0.75
15000,0.14,"D",0.62
5000,0.21,"C",0.63
5000,0.12,"D",0.85
3500,0.38,"D",0
15000,0.46,"C",0.89
2000,0.14,"HR",0.02
15000,0.2,"C",0.69
15000,0.41,"C",0.62
3000,0.21,"B",0.92
3500,0.04,"AA",0.08
15000,0.32,"A",0.84
4000,0.09,"D",0.61
20000,0.15,"AA",0.54
3000,0.19,"C",0.09
2000,0.03,"D",1.01
3000,0.11,"HR",NA
3000,0.03,"C",0.05
3500,0.31,"AA",0.55
6000,0.1,"D",0.81
1650,0.11,"AA",0.6
11000,0.19,"C",0.98
4400,NA,"E",0.9
4500,0.14,"C",0.87
20000,0.3,"B",0.72
10000,0.33,"D",0.49
3000,0.05,"D",0.48
2000,0.07,"E",0.85
1782,0.04,"HR",NA
13000,0.13,"B",0.84
12000,0.2,"B",0.68
2000,0.17,"A",0.83
6000,0.43,"B",0.71
6000,0.21,"C",0.93
3000,0.07,"E",0.98
2000,0.12,"AA",0.19
3500,0.44,"HR",0.77
15000,0.37,"C",0.35
2500,0.43,"E",0.79
15000,0.34,"B",0.97
25000,0.13,"AA",0.49
3000,0.32,"C",NA
7000,0.22,"C",0.21
1400,NA,"A",0
1000,0.23,"HR",1.11
6500,0.35,"E",0.84
15000,0.06,"B",0.33
1500,0.06,"A",0.9
7500,0.31,"C",0.89
25000,0.25,"C",0.88
15000,0.45,"C",0.91
10000,0.48,"D",0.66
15000,0.18,"A",0.24
4000,0.26,"HR",0.92
9000,0.15,"B",0.65
2500,0.39,"A",0.07
7000,0.1,"B",0.75
20000,0.17,"A",0.81
4000,0.26,"HR",0.55
20000,0.3,"B",0.05
6309,NA,"B",0.47
7500,0.18,"D",0.34
7500,NA,"E",0.71
22500,0.24,"C",0.25
5500,0.18,"A",0.44
5000,0.12,"C",0.77
8000,0.35,"A",0.34
6000,0.04,"A",0.11
10000,0.38,"D",0.59
5000,0.22,"A",0.77
2000,0.22,"E",0.94
7500,NA,"D",0.5
14357,0.26,"C",0.47
3500,NA,"B",0.27
10000,0.38,"B",0.32
15000,0.26,"AA",0.05
20000,0.11,"AA",0.05
5000,0.45,"E",0.81
4000,NA,"HR",0.28
1500,0.07707,"AA",NA
16000,0.23,"C",0.8
4000,0.45,"E",0.54
3000,0.12,"B",0.27
5000,0.24,"A",0.46
2500,0.04,"C",0.28
15000,0.29,"C",0.74
35000,0.37,"A",0.93
2000,0.12,"HR",NA
3500,0.19,"E",0.55
4000,0.4,"HR",0.38
10000,0.36,"B",0.97
7500,0.5,"D",0.49
15000,0.43,"A",0.54
20000,0.16,"B",0.53
5000,0.34,"C",0.14
15000,0.32,"B",0.65
4000,1.85,"E",0.84
15000,0.09,"D",NA
4000,NA,"HR",0.21
10000,0.57,"C",0.79
11500,0.18,"B",0.53
6000,0.12,"D",0.19
3000,0.44,"C",0.08
9500,0.17,"D",0.99
10000,0.15,"A",0.66
4000,0.13,"C",0
4000,NA,"B",0.54
12500,0.36,"C",0.87
4000,0.24,"HR",0.88
6000,0.11,"B",0.92
15000,0.25,"A",0.22
1500,0.18,"D",0.93
1100,0.02,"NC",NA
2000,0.4,"D",0.62
4000,0.51,"E",0.86
1000,0.11,"E",1.27
12500,0.2,"A",0.36
2600,0.25,"D",0.92
2800,0.05,"E",NA
2000,0.12,"B",0.98
4000,0.22,"HR",0
12000,0.12,"AA",0.18
2500,0.29,"D",0.64
4000,0.4,"E",0.97
4000,0.28,"C",0.86
8000,0.34,"A",0.42
14000,0.29,"D",0.94
7000,0.19,"A",0.23
8000,NA,"D",0.59
4500,0.24,"E",0.67
9000,0.05,"A",0.07
15000,0.43,"B",0.1
15000,0.12,"AA",0.41
15000,0.19,"C",0.63
7000,0.09,"AA",0.14
2700,0.11392,"E",NA
4000,0.15,"E",0.8
1000,0.04,"AA",0
5900,0.35,"B",0.94
10000,0.56,"C",0.44
13400,0.24,"C",0.61
4000,0.05,"A",0.02
4000,0.29,"HR",0.86
2500,0.06,"B",0.14
3000,0.19,"D",0.46
11500,0.16,"D",0
10000,0.51,"E",0.87
15000,0.32,"A",0.69
4000,0.49,"HR",0.63
7800,0.07,"D",0.66
6000,0.38,"C",0.85
20000,0.32,"B",0.89
15000,0.08,"B",0.77
6000,0.33,"D",0.94
4500,0.08,"E",0
2000,0.05,"D",0.09
4000,0.16,"E",0.9
15000,0.35,"C",0.97
6000,NA,"B",0.78
4000,NA,"D",0.55
19000,0.33,"A",0.4
15000,0.14,"A",0.43
5000,0.3,"C",0.66
1000,0.13,"E",NA
10000,0.39,"C",0.83
10000,0.19,"C",0.96
20000,0.1,"A",0.05
10000,NA,"B",0.73
4000,0.14,"E",0.66
1001,NA,"NC",NA
10000,0.08,"B",0.04
15000,0.33,"C",0.72
2000,0.14279,"C",NA
5000,0.36,"E",0.19
5000,0.21,"AA",0.05
4000,0.06,"E",0.82
7500,1.5,"E",0.6
10950,0.29,"C",0.86
6500,0.41,"A",0.36
8500,0.32,"C",0.65
8000,0.23,"B",0.73
10000,0.23,"A",0.28
11000,0.19,"B",NA
3000,0.19,"E",0.94
2000,0.15,"C",0.28
2000,0.19,"D",0
4500,0.07,"AA",0
5000,0.4,"D",0.43
6300,0.17,"E",NA
6000,0.15,"C",0.73
2500,0.41,"D",0.72
1100,0.48,"HR",1
13000,NA,"A",0.15
5000,0.09,"AA",0.18
7500,NA,"D",0.94
4000,1.7,"HR",0.23
6000,0.11,"A",0.83
15000,NA,"D",0.2
28000,0.24,"B",0.68
25000,0.26,"C",0.98
10000,0.11,"AA",0.32
4000,0.22,"HR",0
4000,0.16,"C",0.34
13000,0.23,"A",0.37
15000,0.25,"C",0.68
6000,0.12,"E",0.5
10000,0.23,"B",0.51
10000,NA,"D",0.64
7000,0.17,"B",0.35
6000,0.2,"B",0.53
5500,NA,"A",0.85
10000,0.08,"A",0
18000,0.32,"D",NA
8500,0.17,"B",0.97
1000,0.08,"HR",NA
7000,0.08,"D",0.66
15000,0.29,"A",0.06
2000,0.1,"HR",0.94
10000,NA,"D",0.32
15000,0.37,"C",0.78
3500,0.24,"C",0.94
5000,0.22,"C",0
8000,0.29,"AA",NA
15000,0.19,"AA",0.26
5000,0.2,"A",0.34
6400,0.19,"B",0.17
6000,0.07,"A",0.15
10000,0.17,"C",0.43
5000,0.21,"A",0.86
9500,0.39,"A",0.67
1000,0.36,"D",0.74
20000,0.27,"C",0.73
10000,0.46,"C",0.5
2500,0.09,"D",0.67
2000,0.15,"AA",0
15000,0.28,"B",0.74
4500,0.1,"A",0.9
9500,0.42,"D",0.36
4000,0.21,"E",0.89
4500,0.16,"C",0.25
11000,0.18,"A",0.72
24000,0.13,"AA",0.51
3000,0.13,"E",0.48
20000,0.28,"A",0.27
13200,0.4,"D",0.98
4000,NA,"E",0.77
15000,0.46,"C",0.01
15000,0.46,"C",0.01
3000,0.35,"E",NA
20000,0.22,"A",0.16
10000,0.38,"B",0.58
7000,0.17,"D",0.77
15000,0.46,"B",0.52
10000,0.35,"A",0.18
3000,0.31,"E",0.93
2000,0.08,"D",0.89
20000,0.2,"C",0.75
6000,0.09,"C",0
7000,0.31,"E",0.83
2000,0.05,"HR",0.21
10000,0.27,"C",0.72
2000,NA,"B",0.32
6860,0.14,"A",0.04
8000,0.12,"A",0.41
7500,0.04,"C",0
5500,0.2,"C",0.52
15000,0.06,"B",0.41
10000,0.15,"C",0.51
2500,0.11,"D",0.47
7000,0.33,"D",0.7
10000,0.05,"C",0.32
4500,0.14,"HR",NA
10000,0.16,"C",0.17
2000,0.42,"C",0.69
4000,0.46,"HR",0.81
5000,0.43,"D",0.3
11000,0.14,"B",0.97
2000,0.14,"AA",0.02
15000,NA,"C",0.52
10000,0.25,"D",0.69
5000,0.29,"D",0.94
12000,0.35,"C",0.38
11000,0.25,"B",0.96
20000,0.26,"B",0
15000,0.41,"C",0.65
4800,0.12,"AA",0.12
8000,0.27,"D",0.77
8500,0.34,"B",0.56
8000,0.19,"C",0.87
4000,0.28,"D",0.58
25000,0.3,"B",0.24
5000,0.76,"C",0.45
12000,0.24,"AA",0.35
4900,0.08,"C",NA
4000,0.17,"D",0.07
4000,0.12,"E",0.81
2000,0.22,"C",0.76
4000,0.45,"B",0.98
10000,0.11,"D",0.55
4000,0.08,"E",0.51
25000,0.17,"A",0.3
19000,0.24,"A",0
10000,0.24,"D",0.3
4000,0.36,"HR",1.05
4000,0.37,"E",0.64
8000,0.13,"B",0.25
6001,0.54,"C",0.98
3000,0.31,"E",0.96
20000,0.26,"B",0.88
4000,0.43,"C",0.62
3000,0.37,"A",0.99
2000,0.21,"E",0.56
5000,0.18,"A",0.26
25000,0.19,"C",0.92
1000,0.15,"AA",0.4
8000,0.48,"E",NA
15000,0.15,"A",0.02
10000,0.27,"B",0.11
2025,0.02,"HR",NA
7500,0.21,"B",0.77
7500,NA,"E",0.22
10000,0.08,"B",0.21
10000,0.39,"C",0.74
6000,0.18,"D",0.76
25000,0.36,"A",0.99
4000,0.23,"C",0.9
15000,0.16,"AA",0.03
3350,0.41,"E",NA
6500,0.45,"D",0.94
4000,0.25,"B",0.2
25000,0.25,"C",0.48
3500,0.22,"HR",0.43
15000,0.26,"D",0.81
10000,0.4,"E",0.42
4000,0.23,"B",0.96
4000,0.39,"E",0.77
15000,0.37,"C",0.62
13500,0.23,"C",0.8
17000,0.17,"C",0.7
8500,0.15,"D",0.34
2000,0.18,"D",0.98
5000,0.32,"D",0
10000,0.24,"D",0.49
4000,0.22,"E",0
2600,0.13,"E",NA
4600,0.13,"C",0.06
5000,0.07,"C",0.88
4500,0.05,"C",NA
6000,0.2,"A",0.11
14750,0.55,"C",NA
4000,0.35,"E",0
15000,0.37,"B",0.75
4200,0.1,"C",0.39
4000,0.14,"E",0.52
10500,0.19,"A",0.13
25000,0.1,"C",0.99
15000,0.38,"C",0.99
9500,0.42,"A",0.27
10000,0.17,"C",0.29
6500,0.18,"C",NA
10000,0.7,"C",0.96
2000,0.35,"HR",0.99
25000,0.32,"B",0.71
25000,0.16,"B",0.1
10000,0.26,"C",0.47
10000,0.3,"D",0.91
10000,0.2,"C",0.55
7000,0.18,"B",0.26
5000,0.59,"AA",0.57
7500,0.22,"B",0.98
20000,0.18,"C",0.72
10000,0.3,"D",0.52
5000,0.14,"AA",0.15
8000,0.25,"A",0.21
4000,0.17,"C",0.15
2800,0.2,"C",0.84
5000,0.34,"A",0.69
4000,0.41,"HR",0.98
1000,0.25,"E",0.99
15000,0.15,"A",0.43
15000,0.34,"B",0.88
3600,0.41,"C",1
25000,0.21,"B",0.97
4000,0.28,"A",0.09
15000,0.14,"B",0
3001,0.08,"D",0
9500,0.19,"C",0.77
15000,0.36,"B",0.34
10000,0.36,"C",0.96
9999,0.37,"C",0.92
4000,NA,"C",0.97
1200,NA,"C",0.75
7000,0.12,"A",0.2
7500,0.19,"D",0.52
15000,0.23,"A",0.37
4000,0.46,"D",0.4
7000,0.26,"D",0.88
5000,0.16,"D",0.71
4000,NA,"HR",0.93
3000,0.13,"C",0
12000,0.13,"AA",0.22
8900,NA,"B",0.41
17000,0.43,"A",0.56
5000,0.21,"D",0.65
2551,0.34,"HR",0
10000,0.51,"D",0.91
2500,0.4,"D",0.85
4500,0.29,"B",NA
8000,0.45,"D",0.66
4000,0.19,"B",0.17
9000,0.2,"B",0.61
15000,0.51,"C",0.21
4000,0.21,"HR",0.72
25000,0.2,"AA",0.31
15000,0.71,"C",0.85
10000,0.33,"D",0.87
4000,0.37,"B",0.64
3000,0.38,"D",NA
12229,0.16,"A",0.01
10000,0.28,"A",0.42
6500,0.18,"A",0.93
4700,0.13,"E",0.54
6000,0.31,"E",0.57
1000,0.45,"D",1.12
3000,0.12,"C",0
15000,0.27,"D",0.61
8000,0.42,"D",0.52
10000,0.49,"D",0.36
10000,0.51,"E",0.92
6000,0.15,"C",0.15
11000,0.21,"D",0.97
18000,0.06,"A",0.66
2000,NA,"AA",0.25
4000,NA,"E",0.26
15000,0.22,"C",0.55
15000,0.68,"C",0.83
10000,0.25,"C",NA
7500,NA,"E",0.05
10577,0.17,"AA",0.45
7000,0.19,"B",0.46
8000,0.14,"D",0.74
4500,0.21,"AA",0.07
25000,0.29,"B",0.71
2000,0.11,"D",NA
4000,0.13,"E",0.14
20000,0.32,"AA",0.25
10000,0.17,"C",0.95
25000,0.74,"AA",0.64
3000,0.25,"D",0.95
2000,0.14,"E",NA
20000,0.16,"AA",0.49
17000,0.19,"A",0.59
5900,0.1,"HR",0.88
8000,NA,"C",0.62
2500,0.26,"D",0
3000,0.29,"HR",0.89
3100,0.2,"E",NA
8000,0.33,"D",0.22
3000,0.45,"E",0.46
3500,0.15,"A",0.58
25000,0.29,"C",0.53
2000,0.21,"E",0.86
15000,0.2,"C",0.95
1800,0.36,"A",0.76
5000,0.13,"B",0.84
10000,NA,"A",0.33
10000,0.25,"C",0.52
6000,0.22,"C",0.96
2000,0.2,"D",0.95
2000,0.25,"HR",0
25000,0.55,"A",0.18
2000,0.04,"AA",0
2500,0.2,"D",0.88
1400,0.05,"HR",0
12000,0.21,"C",0.64
4632,0.19,"A",0.68
4000,0.34,"C",0.95
18000,0.23,"AA",NA
3000,0.25,"D",0.88
10000,0.31,"D",0.4
6000,0.19,"E",0.84
10000,0.69,"B",0.71
7000,0.17,"A",0.69
7000,0.23,"D",0.26
4000,0.29,"D",0.86
11000,0.26,"B",0.55
6000,0.26,"E",0.07
5000,0.45,"B",0.65
6001,0.27,"B",0.78
10000,0.43,"D",0.98
7500,0.07,"C",0.88
4000,0.23,"E",0.58
4000,NA,"HR",0.96
6500,0.1,"B",0.44
6000,0.31,"C",0.87
10000,0.28,"E",0.67
10000,0.26,"B",0.81
5000,0.13,"D",0.96
1175,0.49,"C",0.87
4000,0.24,"E",0.57
5000,0.49,"D",0.18
5000,0.43,"D",0.94
13500,0.14,"C",0.73
4000,0.08,"E",0.98
7000,0.23,"B",0.27
20000,0.2,"A",0.53
10000,0.2,"A",0.39
16000,0.18,"C",0.8
4000,0.42,"E",0.91
1500,0.02,"D",0
15600,0.24,"A",0.84
5000,0.39,"E",0.88
3050,0.05608,"HR",NA
5000,0.06,"AA",0.06
12000,0.44,"B",0.42
1700,NA,"HR",0
8000,2.2,"C",0
7500,0.33,"C",0.1
10000,0.17,"D",0.46
5000,0.09,"C",0.23
25000,0.16,"C",0.58
15000,0.12,"B",0.36
2550,0.04,"D",NA
1800,0.29,"A",0.64
1000,0.26,"C",0
2000,0.23,"HR",0.02
12000,0.26,"A",0.22
20000,0.33,"A",0.75
2000,0.34,"C",0.83
2200,0.15,"C",0.91
8000,0.15,"C",0.99
3000,0.32,"E",0.99
4000,0.17,"A",0.94
2500,0.59,"C",0.98
2550,0.29,"E",NA
8500,0.22,"D",0.85
2600,0.12074,"HR",NA
7500,0.16,"C",0.7
7900,0.2,"A",NA
15000,0.31,"A",0.08
8500,0.54,"E",0.44
6000,0.04,"C",0.25
2000,0.21,"B",0.73
2000,0.22,"HR",0.48
6100,0.26,"C",0.7
13000,NA,"B",0.96
3500,0.2,"A",0.68
15000,NA,"A",0.54
5000,0.15,"C",0.79
3000,0.22,"E",NA
4000,0.76,"HR",0.56
1000,0.34,"HR",1
4000,NA,"D",0.46
4500,0.31,"C",0.92
2500,0.47,"E",0.61
1000,0.06,"AA",NA
6000,0.39,"C",0.62
4500,0.2,"D",0
2500,0.07,"A",0.44
15000,0.16,"B",0.84
10001,0.14,"D",NA
10000,0.12,"D",0
7500,NA,"AA",0.16
11643,0.08,"A",0.53
25000,0.28,"C",0.88
10000,0.36,"E",0.67
6000,0.21,"B",0.22
15000,0.25,"AA",0.07
7500,0.15,"D",0.41
4750,0.31,"D",0.71
10000,0.61,"C",0.57
19000,0.19,"C",0.6
20000,0.32,"A",0.39
3000,0.05,"C",0.28
12000,0.09,"A",0.94
3500,0.32,"C",0.66
4000,0.16,"C",0.85
10000,0.21,"C",NA
15000,0.32,"B",0.9
10000,NA,"AA",0.57
8000,0.25,"C",0.57
2000,0.39,"D",0.66
7000,0.1,"B",0.56
2500,0.04,"C",0
12000,0.13,"D",0.99
7000,0.2,"C",0.28
10000,0.2,"A",0.42
3500,0.48,"C",NA
25000,0.28,"A",0.12
1150,0.31,"E",1.09
10000,0.08,"A",0
2000,1.27,"D",0.99
25000,0.24,"A",0.59
7000,0.35,"B",0.52
1525,0.26,"HR",NA
15000,0.23,"D",0.28
11000,0.29,"C",0.18
4000,NA,"HR",0.5
11500,0.19,"C",0.51
10000,0.24,"C",0.13
14836,0.2,"B",0.05
9500,0.15,"B",0.91
7000,0.21,"C",0.84
10000,0.35,"E",0.98
3600,0.13,"E",NA
3000,0.28,"D",NA
15000,0.48,"C",0.93
4000,0.21,"HR",0
1800,0.13,"C",0.92
5000,0.27,"B",0.71
10000,0.33,"C",0.81
5500,0.23,"B",0.97
14000,0.13,"C",0.73
5000,0.33,"AA",0.31
8500,0.32,"B",0.58
15000,0.22,"AA",0.08
6000,0.19,"A",0.1
25000,0.23,"A",0.74
2000,0.17,"D",1.14
13000,0.25,"C",0.67
8500,0.12,"A",0.27
10000,0.25,"A",0.21
3500,0.13,"D",NA
1000,0.17,"B",0.44
15000,0.26,"A",0.84
6001,0.76,"B",NA
3000,0.3,"C",NA
25000,0.31,"C",0.87
12000,0.11,"A",0.35
1000,0.06,"AA",0.37
10000,0.21,"C",0.8
5000,0.26,"B",0.91
4000,0.29,"HR",0.93
3500,0.15,"A",0.93
7000,0.22,"C",0.48
5800,0.27,"A",0.2
2000,0.09,"C",0.8
4000,0.46,"D",0.42
5000,0.22,"B",0.65
15000,0.07,"B",0.51
15000,0.17,"C",0.72
2500,0.17,"C",0.5
5000,0.17,"A",0.08
8000,0.16,"A",0
20000,0.09,"AA",0.15
4000,0.25,"D",0.63
4000,0.46,"D",0.46
25000,0.28,"C",0.42
7000,0.17,"B",0.83
7500,0.31,"A",0.12
7500,NA,"HR",0.7
12000,0.15,"A",0.58
15000,0.19,"A",0.34
5000,0.44,"D",0.96
3000,0.24,"C",0.43
4000,0.28,"E",0.94
6500,0.25,"AA",0.48
10000,0.13,"B",0
4000,0.57,"E",0.72
2000,0.14,"HR",0
10000,0.17,"A",0
10000,0.23,"B",0.59
4000,0.33,"A",0.27
4000,NA,"E",0.96
13000,0.31,"B",0.83
2000,0.42,"C",0.04
3000,0.09,"B",0.33
5000,0.16,"A",0.33
6500,NA,"D",0.44
8000,0.21,"B",0.71
10000,0.35,"A",0.23
4000,0.22,"D",0.3
3000,0.03,"A",NA
10000,0.39,"D",0.52
15000,0.27,"D",0.75
2000,NA,"D",0.7
4000,0.14,"HR",0
10000,0.34,"A",0.98
1000,0.27,"D",0.66
8500,0.27,"B",0.51
20000,0.24,"A",0
1400,0.4,"E",NA
10000,0.28,"AA",0.4
15000,0.27,"C",0.69
7000,0.07,"A",0.72
10000,NA,"B",0.35
2864,0.25,"E",0.9
4000,0.21,"HR",0.81
13000,0.24,"B",0.89
2500,0.01,"HR",0.78
2000,NA,"HR",0.99
5000,0.14,"C",0.91
15000,NA,"B",0.95
16000,0.43,"C",NA
8000,0.09,"B",0.52
1100,0.04,"A",0.04
15000,0.12,"B",0.85
3000,0.19,"D",0.43
1500,0.18,"D",0.73
5000,0.14,"C",0.67
2550,0.04,"NC",NA
15000,0.43,"AA",0.23
4000,0.6,"HR",0.98
3000,0.17,"HR",0.92
5500,0.28,"D",0.94
18000,0.09,"B",0.05
4000,NA,"D",0.8
3000,0.27,"A",0.09
1500,0.02,"B",NA
10000,0.17,"C",0.42
1000,0.12,"E",0.79
10000,0.36,"A",0.26
3742,NA,"C",0.82
2600,0.77,"E",0.98
2500,0.11,"D",0.58
2819,0.43,"HR",0.66
4000,0.12,"A",0.01
10000,0.14,"A",0.47
20000,0.14,"B",0.52
1000,0.19,"AA",0
4000,0.48,"C",0.85
12000,0.09,"AA",0.15
20000,0.08,"AA",0.5
4000,0.14,"E",0.67
13000,0.21,"B",0.43
15000,NA,"A",0.79
4000,0.5,"C",0.96
10000,1,"D",0.82
10000,0.22,"D",0.62
15000,0.28,"C",0.11
